cell_id,model_id,model_class,world_model_interface,arena,pair_id,anchor_task,environment_seed,sampling_seed,prompt_family,legacy_v1_wording,requested_relation,native_task_relation,condition_role,prompt_template,rendered_prompt,prompt_rendering_status,execution_batch,video_required,valid_failure_retained
efficient_wam_rt_robotwin__robotwin_pair_00__direct_command__right,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,direct_command,canonical,right,left,counterfactual_direction,Put the {movable} to the right of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
efficient_wam_rt_robotwin__robotwin_pair_00__short_command__left,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,short_command,short_paraphrase,left,left,native_direction,Put the {movable_short} left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_00__short_command__right,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,short_command,short_paraphrase,right,left,counterfactual_direction,Put the {movable_short} right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_00__goal_as_outcome__left,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,goal_as_outcome,declarative_goal,left,left,native_direction,The {movable} should end up to the left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_00__goal_as_outcome__right,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,goal_as_outcome,declarative_goal,right,left,counterfactual_direction,The {movable} should end up to the right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_00__desired_plus_negated_opposite__left,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,desired_plus_negated_opposite,contrastive_goal,left,left,native_direction,"Put the {movable} to the left of the {reference}, not to the right of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_00__desired_plus_negated_opposite__right,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,desired_plus_negated_opposite,contrastive_goal,right,left,counterfactual_direction,"Put the {movable} to the right of the {reference}, not to the left of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_01__direct_command__left,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,direct_command,canonical,left,right,counterfactual_direction,Put the {movable} to the left of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
efficient_wam_rt_robotwin__robotwin_pair_01__direct_command__right,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,direct_command,canonical,right,right,native_direction,Put the {movable} to the right of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
efficient_wam_rt_robotwin__robotwin_pair_01__short_command__left,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,short_command,short_paraphrase,left,right,counterfactual_direction,Put the {movable_short} left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_01__short_command__right,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,short_command,short_paraphrase,right,right,native_direction,Put the {movable_short} right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_01__goal_as_outcome__left,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,goal_as_outcome,declarative_goal,left,right,counterfactual_direction,The {movable} should end up to the left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_01__goal_as_outcome__right,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,goal_as_outcome,declarative_goal,right,right,native_direction,The {movable} should end up to the right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_01__desired_plus_negated_opposite__left,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,desired_plus_negated_opposite,contrastive_goal,left,right,counterfactual_direction,"Put the {movable} to the left of the {reference}, not to the right of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_01__desired_plus_negated_opposite__right,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,desired_plus_negated_opposite,contrastive_goal,right,right,native_direction,"Put the {movable} to the right of the {reference}, not to the left of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_02__direct_command__left,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,direct_command,canonical,left,left,native_direction,Put the {movable} to the left of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
efficient_wam_rt_robotwin__robotwin_pair_02__direct_command__right,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,direct_command,canonical,right,left,counterfactual_direction,Put the {movable} to the right of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
efficient_wam_rt_robotwin__robotwin_pair_02__short_command__left,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,short_command,short_paraphrase,left,left,native_direction,Put the {movable_short} left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_02__short_command__right,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,short_command,short_paraphrase,right,left,counterfactual_direction,Put the {movable_short} right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_02__goal_as_outcome__left,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,goal_as_outcome,declarative_goal,left,left,native_direction,The {movable} should end up to the left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_02__goal_as_outcome__right,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,goal_as_outcome,declarative_goal,right,left,counterfactual_direction,The {movable} should end up to the right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_02__desired_plus_negated_opposite__left,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,desired_plus_negated_opposite,contrastive_goal,left,left,native_direction,"Put the {movable} to the left of the {reference}, not to the right of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
efficient_wam_rt_robotwin__robotwin_pair_02__desired_plus_negated_opposite__right,efficient_wam_rt_robotwin,WAM,decoded_coarse_future_video_and_actions,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,desired_plus_negated_opposite,contrastive_goal,right,left,counterfactual_direction,"Put the {movable} to the right of the {reference}, not to the left of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_00__direct_command__left,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,direct_command,canonical,left,left,native_direction,Put the {movable} to the left of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
fastwam_robotwin__robotwin_pair_00__direct_command__right,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,direct_command,canonical,right,left,counterfactual_direction,Put the {movable} to the right of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
fastwam_robotwin__robotwin_pair_00__short_command__left,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,short_command,short_paraphrase,left,left,native_direction,Put the {movable_short} left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_00__short_command__right,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,short_command,short_paraphrase,right,left,counterfactual_direction,Put the {movable_short} right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_00__goal_as_outcome__left,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,goal_as_outcome,declarative_goal,left,left,native_direction,The {movable} should end up to the left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_00__goal_as_outcome__right,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,goal_as_outcome,declarative_goal,right,left,counterfactual_direction,The {movable} should end up to the right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_00__desired_plus_negated_opposite__left,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,desired_plus_negated_opposite,contrastive_goal,left,left,native_direction,"Put the {movable} to the left of the {reference}, not to the right of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_00__desired_plus_negated_opposite__right,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,desired_plus_negated_opposite,contrastive_goal,right,left,counterfactual_direction,"Put the {movable} to the right of the {reference}, not to the left of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_01__direct_command__left,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,direct_command,canonical,left,right,counterfactual_direction,Put the {movable} to the left of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
fastwam_robotwin__robotwin_pair_01__direct_command__right,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,direct_command,canonical,right,right,native_direction,Put the {movable} to the right of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
fastwam_robotwin__robotwin_pair_01__short_command__left,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,short_command,short_paraphrase,left,right,counterfactual_direction,Put the {movable_short} left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_01__short_command__right,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,short_command,short_paraphrase,right,right,native_direction,Put the {movable_short} right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_01__goal_as_outcome__left,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,goal_as_outcome,declarative_goal,left,right,counterfactual_direction,The {movable} should end up to the left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_01__goal_as_outcome__right,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,goal_as_outcome,declarative_goal,right,right,native_direction,The {movable} should end up to the right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_01__desired_plus_negated_opposite__left,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,desired_plus_negated_opposite,contrastive_goal,left,right,counterfactual_direction,"Put the {movable} to the left of the {reference}, not to the right of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_01__desired_plus_negated_opposite__right,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,desired_plus_negated_opposite,contrastive_goal,right,right,native_direction,"Put the {movable} to the right of the {reference}, not to the left of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_02__direct_command__left,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,direct_command,canonical,left,left,native_direction,Put the {movable} to the left of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
fastwam_robotwin__robotwin_pair_02__direct_command__right,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,direct_command,canonical,right,left,counterfactual_direction,Put the {movable} to the right of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
fastwam_robotwin__robotwin_pair_02__short_command__left,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,short_command,short_paraphrase,left,left,native_direction,Put the {movable_short} left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_02__short_command__right,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,short_command,short_paraphrase,right,left,counterfactual_direction,Put the {movable_short} right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_02__goal_as_outcome__left,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,goal_as_outcome,declarative_goal,left,left,native_direction,The {movable} should end up to the left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_02__goal_as_outcome__right,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,goal_as_outcome,declarative_goal,right,left,counterfactual_direction,The {movable} should end up to the right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_02__desired_plus_negated_opposite__left,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,desired_plus_negated_opposite,contrastive_goal,left,left,native_direction,"Put the {movable} to the left of the {reference}, not to the right of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
fastwam_robotwin__robotwin_pair_02__desired_plus_negated_opposite__right,fastwam_robotwin,WAM,world_model_training_action_only_test_time,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,desired_plus_negated_opposite,contrastive_goal,right,left,counterfactual_direction,"Put the {movable} to the right of the {reference}, not to the left of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_00__direct_command__left,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,direct_command,canonical,left,left,native_direction,Put the {movable} to the left of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
lingbot_va_robotwin__robotwin_pair_00__direct_command__right,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,direct_command,canonical,right,left,counterfactual_direction,Put the {movable} to the right of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
lingbot_va_robotwin__robotwin_pair_00__short_command__left,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,short_command,short_paraphrase,left,left,native_direction,Put the {movable_short} left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_00__short_command__right,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,short_command,short_paraphrase,right,left,counterfactual_direction,Put the {movable_short} right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_00__goal_as_outcome__left,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,goal_as_outcome,declarative_goal,left,left,native_direction,The {movable} should end up to the left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_00__goal_as_outcome__right,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,goal_as_outcome,declarative_goal,right,left,counterfactual_direction,The {movable} should end up to the right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_00__desired_plus_negated_opposite__left,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,desired_plus_negated_opposite,contrastive_goal,left,left,native_direction,"Put the {movable} to the left of the {reference}, not to the right of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_00__desired_plus_negated_opposite__right,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_00,place_a2b_left,4300000,8400,desired_plus_negated_opposite,contrastive_goal,right,left,counterfactual_direction,"Put the {movable} to the right of the {reference}, not to the left of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_01__direct_command__left,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,direct_command,canonical,left,right,counterfactual_direction,Put the {movable} to the left of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
lingbot_va_robotwin__robotwin_pair_01__direct_command__right,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,direct_command,canonical,right,right,native_direction,Put the {movable} to the right of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
lingbot_va_robotwin__robotwin_pair_01__short_command__left,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,short_command,short_paraphrase,left,right,counterfactual_direction,Put the {movable_short} left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_01__short_command__right,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,short_command,short_paraphrase,right,right,native_direction,Put the {movable_short} right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_01__goal_as_outcome__left,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,goal_as_outcome,declarative_goal,left,right,counterfactual_direction,The {movable} should end up to the left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_01__goal_as_outcome__right,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,goal_as_outcome,declarative_goal,right,right,native_direction,The {movable} should end up to the right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_01__desired_plus_negated_opposite__left,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,desired_plus_negated_opposite,contrastive_goal,left,right,counterfactual_direction,"Put the {movable} to the left of the {reference}, not to the right of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_01__desired_plus_negated_opposite__right,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_01,place_a2b_right,4300001,8401,desired_plus_negated_opposite,contrastive_goal,right,right,native_direction,"Put the {movable} to the right of the {reference}, not to the left of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_02__direct_command__left,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,direct_command,canonical,left,left,native_direction,Put the {movable} to the left of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
lingbot_va_robotwin__robotwin_pair_02__direct_command__right,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,direct_command,canonical,right,left,counterfactual_direction,Put the {movable} to the right of the {reference}.,,requires_frozen_scene_object_metadata,direct_base_competence_gate,True,True
lingbot_va_robotwin__robotwin_pair_02__short_command__left,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,short_command,short_paraphrase,left,left,native_direction,Put the {movable_short} left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_02__short_command__right,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,short_command,short_paraphrase,right,left,counterfactual_direction,Put the {movable_short} right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_02__goal_as_outcome__left,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,goal_as_outcome,declarative_goal,left,left,native_direction,The {movable} should end up to the left of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_02__goal_as_outcome__right,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,goal_as_outcome,declarative_goal,right,left,counterfactual_direction,The {movable} should end up to the right of the {reference}.,,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_02__desired_plus_negated_opposite__left,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,desired_plus_negated_opposite,contrastive_goal,left,left,native_direction,"Put the {movable} to the left of the {reference}, not to the right of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
lingbot_va_robotwin__robotwin_pair_02__desired_plus_negated_opposite__right,lingbot_va_robotwin,WAM,joint_video_latent_and_actions_with_decodable_future,robotwin_place_a2b,robotwin_pair_02,place_a2b_left,4300002,8402,desired_plus_negated_opposite,contrastive_goal,right,left,counterfactual_direction,"Put the {movable} to the right of the {reference}, not to the left of the {reference}.",,requires_frozen_scene_object_metadata,wording_followup_if_base_gate_passes,True,True
